CoC Number,CoC Name,"Total Homeless, 2016","Sheltered Homeless, 2016","Unsheltered Homeless, 2016","Homeless Individuals, 2016","Sheltered Homeless Individuals, 2016","Unsheltered Homeless Individuals, 2016","Homeless People in Families, 2016","Sheltered Homeless People in Families, 2016","Unsheltered Homeless People in Families, 2016","Chronically Homeless, 2016","Sheltered Chronically Homeless, 2016","Unsheltered Chronically Homeless, 2016","Chronically Homeless Individuals, 2016","Sheltered Chronically Homeless Individuals, 2016","Unsheltered Chronically Homeless Individuals, 2016","Chronically Homeless People in Families, 2016","Sheltered Chronically Homeless People in Families, 2016","Unsheltered Chronically Homeless People in Families, 2016","Homeless Veterans, 2016","Sheltered Homeless Veterans, 2016","Unsheltered Homeless Veterans, 2016","Homeless Unaccompanied Youth (Under 25), 2016","Sheltered Homeless Unaccompanied Youth (Under 25), 2016","Unsheltered Homeless Unaccompanied Youth (Under 25), 2016","Homeless Unaccompanied Children (Under 18), 2016","Sheltered Homeless Unaccompanied Children (Under 18), 2016","Unsheltered Homeless Unaccompanied Children (Under 18), 2016","Homeless Unaccompanied Young Adults (Age 18-24), 2016","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Parenting Youth (Under 25), 2016","Sheltered Parenting Youth (Under 25), 2016","Unsheltered Parenting Youth (Under 25), 2016","Parenting Youth Under 18, 2016","Sheltered Parenting Youth Under 18, 2016","Unsheltered Parenting Youth Under 18, 2016","Parenting Youth Age 18-24, 2016","Sheltered Parenting Youth Age 18-24, 2016","Unsheltered Parenting Youth Age 18-24, 2016","Children of Parenting Youth, 2016","Sheltered Children of Parenting Youth, 2016","Unsheltered Children of Parenting Youth, 2016"
AK-500,Anchorage,"1,105",865,240,905,665,240,200,200,0,50,48,2,48,46,2,2,2,0,89,60,29,94,84,10,3,3,0,91,81,10,6,6,0,0,0,0,6,6,0,6,6,0
AK-501,Alaska Balance of State,835,633,202,622,424,198,213,209,4,72,46,26,64,38,26,8,8,0,79,52,27,79,53,26,16,16,0,63,37,26,3,3,0,0,0,0,3,3,0,4,4,0
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties","1,228","1,032",196,927,743,184,301,289,12,92,29,63,92,29,63,0,0,0,158,156,2,110,88,22,9,9,0,101,79,22,12,12,0,5,5,0,7,7,0,19,19,0
AL-501,Mobile City & County/Baldwin County,623,387,236,477,253,224,146,134,12,80,30,50,80,30,50,0,0,0,66,56,10,16,11,5,0,0,0,16,11,5,7,6,1,0,0,0,7,6,1,9,8,1
AL-502,Florence/Northwest Alabama,337,286,51,194,155,39,143,131,12,39,20,19,32,13,19,7,7,0,19,17,2,4,2,2,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
AL-503,Huntsville/North Alabama,385,298,87,283,196,87,102,102,0,102,59,43,100,57,43,2,2,0,29,21,8,33,18,15,3,3,0,30,15,15,1,1,0,0,0,0,1,1,0,2,2,0
AL-504,Montgomery City & County,367,293,74,285,214,71,82,79,3,28,18,10,28,18,10,0,0,0,41,40,1,10,10,0,0,0,0,10,10,0,3,2,1,0,0,0,3,2,1,6,5,1
AL-505,Gadsden/Northeast Alabama,167,91,76,133,70,63,34,21,13,22,11,11,22,11,11,0,0,0,13,5,8,18,16,2,14,14,0,4,2,2,1,1,0,0,0,0,1,1,0,1,1,0
AL-506,Tuscaloosa City & County,177,47,130,105,33,72,72,14,58,13,0,13,1,0,1,12,0,12,19,17,2,12,0,12,0,0,0,12,0,12,2,1,1,0,0,0,2,1,1,3,2,1
AL-507,Alabama Balance of State,827,459,368,615,353,262,212,106,106,44,5,39,35,5,30,9,0,9,28,9,19,51,28,23,2,2,0,49,26,23,5,2,3,0,0,0,5,2,3,5,2,3
AR-500,Little Rock/Central Arkansas,808,469,339,742,408,334,66,61,5,208,66,142,206,66,140,2,0,2,121,84,37,39,28,11,3,3,0,36,25,11,0,0,0,0,0,0,0,0,0,0,0,0
AR-501,Fayetteville/Northwest Arkansas,550,489,61,359,302,57,191,187,4,90,60,30,76,50,26,14,10,4,56,45,11,45,34,11,32,32,0,13,2,11,0,0,0,0,0,0,0,0,0,0,0,0
AR-503,Arkansas  Balance of State ,734,369,365,519,272,247,215,97,118,89,22,67,81,20,61,8,2,6,22,14,8,82,21,61,0,0,0,82,21,61,4,4,0,0,0,0,4,4,0,4,4,0
AR-504,Delta Hills,89,89,0,27,27,0,62,62,0,24,24,0,0,0,0,24,24,0,0,0,0,11,11,0,0,0,0,11,11,0,7,7,0,0,0,0,7,7,0,7,7,0
AR-505,Southeast Arkansas,89,78,11,46,40,6,43,38,5,26,26,0,1,1,0,25,25,0,2,2,0,19,19,0,14,14,0,5,5,0,2,2,0,0,0,0,2,2,0,2,2,0
AR-508,Old Fort Homeless Coalition,166,111,55,131,88,43,35,23,12,54,24,30,48,24,24,6,0,6,18,14,4,5,4,1,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
AR-512,"Boone, Baxter, Marion, Newton Counties",27,11,16,14,3,11,13,8,5,12,4,8,5,2,3,7,2,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ-500,Arizona Balance of State,"2,240","1,023","1,217","1,734",658,"1,076",506,365,141,437,43,394,407,36,371,30,7,23,305,112,193,98,64,34,18,17,1,80,47,33,15,15,0,1,1,0,14,14,0,19,19,0
AZ-501,Tucson/Pima County,"1,765","1,384",381,"1,305",926,379,460,458,2,213,93,120,211,91,120,2,2,0,281,232,49,121,107,14,16,15,1,105,92,13,44,44,0,0,0,0,44,44,0,60,60,0
AZ-502,Phoenix/Mesa/Maricopa County Regional,"5,702","4,056","1,646","3,620","1,980","1,640","2,082","2,076",6,745,332,413,709,296,413,36,36,0,450,319,131,370,260,110,66,60,6,304,200,104,91,91,0,0,0,0,91,91,0,143,143,0
CA-500,San Jose/Santa Clara City & County,"6,524","1,897","4,627","5,585","1,021","4,564",939,876,63,"2,146",128,"2,018","2,095",110,"1,985",51,18,33,701,255,446,885,105,780,50,9,41,835,96,739,53,47,6,0,0,0,53,47,6,55,49,6
CA-501,San Francisco,"6,996","2,638","4,358","6,309","1,984","4,325",687,654,33,"1,932",718,"1,214","1,805",616,"1,189",127,102,25,580,228,352,"1,488",125,"1,363",131,12,119,"1,357",113,"1,244",77,72,5,0,0,0,77,72,5,103,88,15
