State,Number of CoCs,TotalHomeless2014,"Sheltered Homeless, 2014","Unsheltered Homeless, 2014","Homeless Individuals, 2014","Sheltered Homeless Individuals, 2014","Unsheltered Homeless Individuals, 2014","Homeless People in Families, 2014","Sheltered Homeless People in Families, 2014","Unsheltered Homeless People in Families, 2014","Chronically Homeless, 2014","Sheltered Chronically Homeless, 2014","Unsheltered Chronically Homeless, 2014","Chronically Homeless Individuals, 2014","Sheltered Chronically Homeless Individuals, 2014","Unsheltered Chronically Homeless Individuals, 2014","Chronically Homeless People in Families, 2014","Sheltered Chronically Homeless People in Families, 2014","Unsheltered Chronically Homeless People in Families, 2014","Homeless Veterans, 2014","Sheltered Homeless Veterans, 2014","Unsheltered Homeless Veterans, 2014"
AK,2,1784,1639,145,1209,1109,100,575,530,45,206,137,69,182,119,63,24,18,6,178,160,18
AL,8,4561,3518,1043,3115,2373,742,1446,1145,301,729,283,446,618,245,373,111,38,73,542,450,92
AR,6,2936,1503,1433,2303,1070,1233,633,433,200,519,85,434,516,82,434,3,3,0,361,220,141
AZ,3,10495,7926,2569,6194,3851,2343,4301,4075,226,959,316,643,904,303,601,55,13,42,858,635,223
CA,40,113952,42515,71437,90765,24857,65908,23187,17658,5529,31078,5131,25947,28200,4417,23783,2878,714,2164,12096,4457,7639
CO,3,10028,8083,1945,5573,4035,1538,4455,4048,407,1621,747,874,1335,635,700,286,112,174,753,528,225
CT,6,4450,3531,919,3069,2243,826,1381,1288,93,1215,847,368,1026,696,330,189,151,38,295,221,74
DC,1,7748,7352,396,3953,3557,396,3795,3795,0,2029,1694,335,1609,1274,335,420,420,0,406,375,31
DE,1,901,864,37,584,554,30,317,310,7,91,82,9,88,79,9,3,3,0,93,89,4
FL,28,41542,19851,21691,28730,12886,15844,12812,6965,5847,7989,1903,6086,6843,1717,5126,1146,186,960,4552,2424,2128
GA,9,16521,8214,8307,12403,4932,7471,4118,3282,836,3004,945,2059,2645,862,1783,359,83,276,1443,647,796
GU,1,1356,126,1230,332,37,295,1024,89,935,67,0,67,24,0,24,43,0,43,36,6,30
HI,2,6918,3813,3105,3750,1164,2586,3168,2649,519,1301,199,1102,1109,145,964,192,54,138,593,247,346
IA,3,3122,2926,196,1544,1368,176,1578,1558,20,244,154,90,211,121,90,33,33,0,202,177,25
ID,2,2104,1468,636,1234,848,386,870,620,250,244,105,139,156,69,87,88,36,52,215,135,80
IL,20,13107,11409,1698,7350,5793,1557,5757,5616,141,1488,1010,478,1349,891,458,139,119,20,1234,913,321
IN,3,5971,5568,403,3953,3560,393,2018,2008,10,596,485,111,542,433,109,54,52,2,725,687,38
KS,5,2783,2534,249,1533,1295,238,1250,1239,11,320,212,108,290,184,106,30,28,2,393,356,37
KY,3,5089,4258,831,3352,2805,547,1737,1453,284,727,499,228,614,424,190,113,75,38,600,558,42
LA,9,4606,3503,1103,3444,2364,1080,1162,1139,23,776,262,514,743,232,511,33,30,3,437,332,105
MA,18,21237,20478,759,6788,6041,747,14449,14437,12,3311,3006,305,1590,1285,305,1721,1721,0,1264,1234,30
MD,16,7856,6267,1589,4980,3872,1108,2876,2395,481,1740,1135,605,1515,997,518,225,138,87,654,555,99
ME,2,2726,2633,93,1348,1282,66,1378,1351,27,244,218,26,218,200,18,26,18,8,152,138,14
MI,21,12227,10075,2152,7535,5916,1619,4692,4159,533,1293,825,468,1160,745,415,133,80,53,1122,994,128
MN,10,8377,7582,795,3652,3006,646,4725,4576,149,1235,889,346,885,562,323,350,327,23,317,263,54
MO,8,7282,6309,973,4307,3651,656,2975,2658,317,997,714,283,735,469,266,262,245,17,652,563,89
MS,3,2226,1405,821,1714,933,781,512,472,40,282,79,203,275,74,201,7,5,2,279,221,58
MT,1,1745,911,834,1167,493,674,578,418,160,270,77,193,256,71,185,14,6,8,256,94,162
NC,12,11491,8874,2617,7498,5738,1760,3993,3136,857,1431,720,711,1284,639,645,147,81,66,1164,982,182
ND,1,1258,794,464,886,526,360,372,268,104,115,101,14,111,97,14,4,4,0,151,117,34
NE,3,3026,2917,109,1893,1788,105,1133,1129,4,426,397,29,365,336,29,61,61,0,241,224,17
NH,3,1376,1243,133,795,676,119,581,567,14,338,286,52,301,251,50,37,35,2,171,162,9
NJ,17,11671,10736,935,6446,5536,910,5225,5200,25,1399,1007,392,1150,760,390,249,247,2,630,554,76
