State,Number of CoCs,TotalHomeless2015,"Sheltered Homeless, 2015","Unsheltered Homeless, 2015","Homeless Individuals, 2015","Sheltered Homeless Individuals, 2015","Unsheltered Homeless Individuals, 2015","Homeless People in Families, 2015","Sheltered Homeless People in Families, 2015","Unsheltered Homeless People in Families, 2015","Chronically Homeless, 2015","Sheltered Chronically Homeless, 2015","Unsheltered Chronically Homeless, 2015","Chronically Homeless Individuals, 2015","Sheltered Chronically Homeless Individuals, 2015","Unsheltered Chronically Homeless Individuals, 2015","Chronically Homeless People in Families, 2015","Sheltered Chronically Homeless People in Families, 2015","Unsheltered Chronically Homeless People in Families, 2015","Homeless Veterans, 2015","Sheltered Homeless Veterans, 2015","Unsheltered Homeless Veterans, 2015","Homeless Unaccompanied Youth (Under 25), 2015","Sheltered Homeless Unaccompanied Youth (Under 25), 2015","Unsheltered Homeless Unaccompanied Youth (Under 25), 2015","Homeless Unaccompanied Children (Under 18), 2015","Sheltered Homeless Unaccompanied Children (Under 18), 2015","Unsheltered Homeless Unaccompanied Children (Under 18), 2015","Homeless Unaccompanied Young Adults (Age 18-24), 2015","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Parenting Youth (Under 25), 2015","Sheltered Parenting Youth (Under 25), 2015","Unsheltered Parenting Youth (Under 25), 2015","Parenting Youth Under 18, 2015","Sheltered Parenting Youth Under 18, 2015","Unsheltered Parenting Youth Under 18, 2015","Parenting Youth Age 18-24, 2015","Sheltered Parenting Youth Age 18-24, 2015","Unsheltered Parenting Youth Age 18-24, 2015","Children of Parenting Youth, 2015","Sheltered Children of Parenting Youth, 2015","Unsheltered Children of Parenting Youth, 2015"
AK,2,1956,1639,317,1342,1084,258,614,555,59,222,81,141,182,70,112,40,11,29,180,149,31,155,123,32,24,18,6,131,105,26,18,18,0,0,0,0,18,18,0,21,21,0
AL,8,3970,2943,1027,2868,2076,792,1102,867,235,607,168,439,557,157,400,50,11,39,474,399,75,228,168,60,32,27,5,196,141,55,25,21,4,5,5,0,20,16,4,35,29,6
AR,7,2560,1678,882,1833,1089,744,727,589,138,623,319,304,524,234,290,99,85,14,456,385,71,188,95,93,0,0,0,188,95,93,22,22,0,0,0,0,22,22,0,20,20,0
AZ,3,9896,6939,2957,6548,3824,2724,3348,3115,233,1366,344,1022,1246,297,949,120,47,73,1220,672,548,621,450,171,83,79,4,538,371,167,166,156,10,6,6,0,160,150,10,194,185,9
CA,43,115738,42039,73699,93156,24843,68313,22582,17196,5386,32227,5077,27150,29178,4169,25009,3049,908,2141,11311,4309,7002,10416,2464,7952,892,260,632,9524,2204,7320,854,770,84,11,11,0,843,759,84,1160,1039,121
CO,3,9953,7134,2819,5729,3739,1990,4224,3395,829,1877,882,995,1572,754,818,305,128,177,950,644,306,566,360,206,82,74,8,484,286,198,171,146,25,1,0,1,170,146,24,226,197,29
CT,3,4047,3421,626,2719,2124,595,1328,1297,31,583,278,305,538,240,298,45,38,7,282,241,41,124,92,32,11,11,0,113,81,32,43,41,2,0,0,0,43,41,2,65,63,2
DC,1,7298,6754,544,3821,3277,544,3477,3477,0,1790,1470,320,1593,1273,320,197,197,0,408,366,42,200,183,17,7,7,0,193,176,17,366,366,0,0,0,0,366,366,0,544,544,0
DE,1,953,916,37,602,565,37,351,351,0,80,75,5,64,59,5,16,16,0,79,74,5,57,56,1,3,3,0,54,53,1,21,21,0,0,0,0,21,21,0,41,41,0
FL,27,35900,18883,17017,26325,12033,14292,9575,6850,2725,6540,1383,5157,6021,1210,4811,519,173,346,3926,2372,1554,2371,1207,1164,593,321,272,1778,886,892,315,278,37,10,10,0,305,268,37,449,397,52
GA,9,13790,7987,5803,9702,4783,4919,4088,3204,884,2137,622,1515,1994,568,1426,143,54,89,1548,866,682,575,292,283,15,11,4,560,281,279,51,45,6,0,0,0,51,45,6,98,79,19
